conjugation,order,subject,subject_translation,preverb,preverb_translation,trans,verb_base,verb,verb_translation,type,subject_base,object,object_translation
"ni-wì-pòdawe","IND","IND1sg","I-","wì-","want to","want to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","1sg","none","no object"
"ni-wì-shòshkwàdaye","IND","IND1sg","I-","wì-","want to","want to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","1sg","none","no object"
"wì-pòdawe","IND","IND3sg","he/she-","wì-","want to","want to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","3sg","none","no object"
"wì-shòshkwàdaye","IND","IND3sg","he/she-","wì-","want to","want to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","3sg","none","no object"
"ni-pòdawe","IND","IND1sg","I-","none","no preverb","no preverbmake (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","1sg","none","no object"
"ni-shòshkwàdaye","IND","IND1sg","I-","none","no preverb","no preverbskate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","1sg","none","no object"
"wì-pòdaweyàn","CONJ","CONJ1sg","as I-","wì-","want to","want to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","1sg","none","no object"
"wì-shòshkwàdayeyàn","CONJ","CONJ1sg","as I-","wì-","want to","want to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","1sg","none","no object"
"gi-wì-pòdawe","IND","IND2sg","you (sg)-","wì-","want to","want to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","2sg","none","no object"
"gi-wì-shòshkwàdaye","IND","IND2sg","you (sg)-","wì-","want to","want to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","2sg","none","no object"
"pòdawe","IND","IND3sg","he/she-","none","no preverb","no preverbmake (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","3sg","none","no object"
"shòshkwàdaye","IND","IND3sg","he/she-","none","no preverb","no preverbskate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","3sg","none","no object"
"ni-wì-tàshkahise","IND","IND1sg","I-","wì-","want to","want to-split wood","tàshkahise","tàshkahiseVAI1","split wood","VAI1","1sg","none","no object"
"ni-màdjì-pòdawe","IND","IND1sg","I-","màdjì-","begin to","begin to-make (fire)","pòdawe","pòdaweVAI1","make (fire)","VAI1","1sg","none","no object"
"ni-màdjì-shòshkwàdaye","IND","IND1sg","I-","màdjì-","begin to","begin to-skate","shòshkwàdaye","shòshkwàdayeVAI1","skate","VAI1","1sg","none","no object"
